genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
QinJ_2012__DLM020__bin.4	10068	No	QinJ_2012	DLM020	3293345	5163	735	73.76	0.71	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DLM020__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DLM020__bin.4.txt
QinJ_2012__DLM022__bin.41	10068	No	QinJ_2012	DLM022	4579309	108181	73	97.11	0.09	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DLM022__bin.41.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DLM022__bin.41.txt
QinJ_2012__DLM028__bin.16	10068	No	QinJ_2012	DLM028	4597714	107430	88	99.45	2.01	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DLM028__bin.16.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DLM028__bin.16.txt
QinJ_2012__DLM028__bin.4	10112	No	QinJ_2012	DLM028	4912270	55352	166	94.21	0.69	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella quasipneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10112/QinJ_2012__DLM028__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10112.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10112/QinJ_2012__DLM028__bin.4.txt
QinJ_2012__DOF004__bin.26	10068	No	QinJ_2012	DOF004	4062119	25952	245	94.17	0.99	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOF004__bin.26.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOF004__bin.26.txt
QinJ_2012__DOF006__bin.14	10068	No	QinJ_2012	DOF006	4415285	8759	659	93.86	3.38	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOF006__bin.14.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOF006__bin.14.txt
QinJ_2012__DOF007__bin.2	10068	No	QinJ_2012	DOF007	3576755	5211	808	82.01	1.56	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOF007__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOF007__bin.2.txt
QinJ_2012__DOF008__bin.42	10130	No	QinJ_2012	DOF008	4141962	17658	368	67.87	0.00	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10130/QinJ_2012__DOF008__bin.42.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10130.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10130/QinJ_2012__DOF008__bin.42.txt
QinJ_2012__DOF010__bin.5	10068	No	QinJ_2012	DOF010	4530450	44556	152	97.46	0.17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOF010__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOF010__bin.5.txt
QinJ_2012__DOF012__bin.7	10068	No	QinJ_2012	DOF012	4193180	34228	194	97.44	0.48	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOF012__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOF012__bin.7.txt
QinJ_2012__DOM001__bin.4	10068	No	QinJ_2012	DOM001	3362066	4235	877	81.17	1.95	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOM001__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOM001__bin.4.txt
QinJ_2012__DOM003__bin.17	10068	No	QinJ_2012	DOM003	3559981	317403	37	75.86	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOM003__bin.17.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOM003__bin.17.txt
QinJ_2012__DOM005__bin.7	10130	No	QinJ_2012	DOM005	4288363	26639	248	95.51	0.19	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10130/QinJ_2012__DOM005__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10130.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10130/QinJ_2012__DOM005__bin.7.txt
QinJ_2012__DOM008__bin.16	10068	No	QinJ_2012	DOM008	4623623	62097	103	99.37	0.52	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOM008__bin.16.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOM008__bin.16.txt
QinJ_2012__DOM016__bin.9	10068	No	QinJ_2012	DOM016	4578982	14827	455	95.72	2.28	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__DOM016__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__DOM016__bin.9.txt
QinJ_2012__DOM025__bin.20	10115	No	QinJ_2012	DOM025	3654301	4781	915	83.94	1.81	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10115/QinJ_2012__DOM025__bin.20.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10115.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10115/QinJ_2012__DOM025__bin.20.txt
QinJ_2012__NLF008__bin.28	10068	No	QinJ_2012	NLF008	3830508	6819	717	89.69	2.08	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLF008__bin.28.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLF008__bin.28.txt
QinJ_2012__NLF015__bin.4	10068	No	QinJ_2012	NLF015	2641896	3394	825	59.80	0.61	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLF015__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLF015__bin.4.txt
QinJ_2012__NLM001__bin.18	10068	No	QinJ_2012	NLM001	3409712	5467	763	82.91	1.89	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM001__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM001__bin.18.txt
QinJ_2012__NLM002__bin.3	10068	No	QinJ_2012	NLM002	4668306	8796	694	95.42	3.63	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM002__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM002__bin.3.txt
QinJ_2012__NLM003__bin.13	10068	No	QinJ_2012	NLM003	3912749	8115	683	91.14	1.95	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM003__bin.13.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM003__bin.13.txt
QinJ_2012__NLM006__bin.35	10068	No	QinJ_2012	NLM006	4712218	36096	221	98.03	2.98	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM006__bin.35.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM006__bin.35.txt
QinJ_2012__NLM015__bin.6	10068	No	QinJ_2012	NLM015	3946369	8435	648	89.37	1.84	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM015__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM015__bin.6.txt
QinJ_2012__NLM022__bin.27	10068	No	QinJ_2012	NLM022	4050669	20523	311	96.58	0.96	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM022__bin.27.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM022__bin.27.txt
QinJ_2012__NLM023__bin.31	10068	No	QinJ_2012	NLM023	3746342	6402	723	65.52	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM023__bin.31.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM023__bin.31.txt
QinJ_2012__NLM024__bin.7	10068	No	QinJ_2012	NLM024	4218856	20324	342	96.98	0.92	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NLM024__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NLM024__bin.7.txt
QinJ_2012__NLM027__bin.40	10116	No	QinJ_2012	NLM027	5210564	84672	123	99.74	1.02	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10116/QinJ_2012__NLM027__bin.40.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10116.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10116/QinJ_2012__NLM027__bin.40.txt
QinJ_2012__NOF002__bin.12	10068	No	QinJ_2012	NOF002	3263555	4967	787	82.17	1.13	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOF002__bin.12.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOF002__bin.12.txt
QinJ_2012__NOF006__bin.8	10068	No	QinJ_2012	NOF006	4152914	8721	598	89.04	1.59	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOF006__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOF006__bin.8.txt
QinJ_2012__NOF010__bin.9	10068	No	QinJ_2012	NOF010	2991833	4148	811	74.82	1.28	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOF010__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOF010__bin.9.txt
QinJ_2012__NOM004__bin.8	10068	No	QinJ_2012	NOM004	4155685	6164	849	86.14	2.64	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOM004__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOM004__bin.8.txt
QinJ_2012__NOM005__bin.29	10068	No	QinJ_2012	NOM005	4069055	28978	198	97.18	0.33	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOM005__bin.29.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOM005__bin.29.txt
QinJ_2012__NOM025__bin.11	10068	No	QinJ_2012	NOM025	4574320	78366	102	99.89	0.65	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOM025__bin.11.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOM025__bin.11.txt
QinJ_2012__NOM026__bin.30	10115	No	QinJ_2012	NOM026	4841490	33478	247	93.60	1.35	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10115/QinJ_2012__NOM026__bin.30.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10115.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10115/QinJ_2012__NOM026__bin.30.txt
QinJ_2012__NOM028__bin.18	10068	No	QinJ_2012	NOM028	3673356	126240	55	82.55	0.14	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOM028__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOM028__bin.18.txt
QinJ_2012__NOM029__bin.2	10068	No	QinJ_2012	NOM029	4377173	39815	170	98.60	0.28	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__NOM029__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__NOM029__bin.2.txt
QinJ_2012__T2D-001__bin.49	10068	No	QinJ_2012	T2D-001	2906231	3786	844	72.82	1.78	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__T2D-001__bin.49.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__T2D-001__bin.49.txt
QinJ_2012__T2D-002__bin.19	10115	No	QinJ_2012	T2D-002	4260328	9480	643	91.87	1.32	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10115/QinJ_2012__T2D-002__bin.19.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10115.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10115/QinJ_2012__T2D-002__bin.19.txt
QinJ_2012__T2D-003__bin.9	10115	No	QinJ_2012	T2D-003	3839205	7003	708	86.53	1.91	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10115/QinJ_2012__T2D-003__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10115.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10115/QinJ_2012__T2D-003__bin.9.txt
QinJ_2012__T2D-005__bin.23	10068	No	QinJ_2012	T2D-005	4125540	28872	244	96.77	0.23	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/QinJ_2012__T2D-005__bin.23.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/QinJ_2012__T2D-005__bin.23.txt
QinJ_2012__T2D-011__bin.5	10115	No	QinJ_2012	T2D-011	4769869	22953	332	96.98	0.48	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10115/QinJ_2012__T2D-011__bin.5.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10115.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10115/QinJ_2012__T2D-011__bin.5.txt
